Period,Region,Dealer,Model,Variant,Factory,Forecast Units,Actual Units,Order Bank Units,Production Capacity Units,Available Slots,Finished Goods Units,Inventory Days,Forecast Version
2025-07,QLD,Coastal Equipment,Model L,L-MAX,Plant 1,42,42,20,520,60,24,34,FY26-Q1-DEMO
2025-07,NSW,Harbour Dealership,Model H,H-STD,Plant 2,49,55,24,420,40,24,35,FY26-Q1-DEMO
2025-07,NSW,Harbour Dealership,Model H,H-XL,Plant 2,49,43,20,420,40,90,55,FY26-Q1-DEMO
2025-07,NSW,Harbour Dealership,Model J,J-STD,Plant 1,51,51,23,520,60,22,37,FY26-Q1-DEMO
2025-07,NSW,Harbour Dealership,Model J,J-PRO,Plant 1,51,51,23,520,60,36,28,FY26-Q1-DEMO
2025-07,NSW,Harbour Dealership,Model K,K-STD,Plant 3,52,52,23,480,60,21,38,FY26-Q1-DEMO
2025-07,NSW,Harbour Dealership,Model K,K-LITE,Plant 3,52,52,23,480,60,58,42,FY26-Q1-DEMO
2025-07,NSW,Harbour Dealership,Model L,L-STD,Plant 1,53,53,24,520,60,20,39,FY26-Q1-DEMO
2025-07,NSW,Harbour Dealership,Model L,L-MAX,Plant 1,53,53,24,520,60,35,34,FY26-Q1-DEMO
2025-07,NSW,Western Plains,Model H,H-STD,Plant 2,49,55,24,420,40,27,35,FY26-Q1-DEMO
2025-07,NSW,Western Plains,Model H,H-XL,Plant 2,49,43,20,420,40,90,55,FY26-Q1-DEMO
2025-07,NSW,Western Plains,Model J,J-STD,Plant 1,51,51,23,520,60,29,37,FY26-Q1-DEMO
2025-07,NSW,Western Plains,Model J,J-PRO,Plant 1,51,51,23,520,60,55,28,FY26-Q1-DEMO
2025-07,NSW,Western Plains,Model K,K-STD,Plant 3,52,52,23,480,60,30,38,FY26-Q1-DEMO
2025-07,NSW,Western Plains,Model K,K-LITE,Plant 3,52,52,23,480,60,59,42,FY26-Q1-DEMO
2025-07,NSW,Western Plains,Model L,L-STD,Plant 1,53,53,24,520,60,31,39,FY26-Q1-DEMO
2025-07,NSW,Western Plains,Model L,L-MAX,Plant 1,53,53,24,520,60,56,34,FY26-Q1-DEMO
2025-07,VIC,Metro Industrial,Model H,H-STD,Plant 2,53,56,25,420,40,34,35,FY26-Q1-DEMO
2025-07,VIC,Metro Industrial,Model H,H-XL,Plant 2,53,44,20,420,40,90,55,FY26-Q1-DEMO
2025-07,VIC,Metro Industrial,Model J,J-STD,Plant 1,55,55,24,520,60,36,37,FY26-Q1-DEMO
2025-07,VIC,Metro Industrial,Model J,J-PRO,Plant 1,55,55,24,520,60,22,28,FY26-Q1-DEMO
2025-07,VIC,Metro Industrial,Model K,K-STD,Plant 3,56,53,24,480,60,37,38,FY26-Q1-DEMO
2025-07,VIC,Metro Industrial,Model K,K-LITE,Plant 3,56,53,24,480,60,36,42,FY26-Q1-DEMO
2025-07,VIC,Metro Industrial,Model L,L-STD,Plant 1,57,57,25,520,60,38,39,FY26-Q1-DEMO
2025-07,VIC,Metro Industrial,Model L,L-MAX,Plant 1,57,57,25,520,60,23,34,FY26-Q1-DEMO
2025-07,VIC,Gippsland Trade,Model H,H-STD,Plant 2,53,56,25,420,40,38,35,FY26-Q1-DEMO
2025-07,VIC,Gippsland Trade,Model H,H-XL,Plant 2,53,44,20,420,40,90,55,FY26-Q1-DEMO
2025-07,VIC,Gippsland Trade,Model J,J-STD,Plant 1,55,55,24,520,60,36,37,FY26-Q1-DEMO
2025-07,VIC,Gippsland Trade,Model J,J-PRO,Plant 1,55,55,24,520,60,50,28,FY26-Q1-DEMO
2025-07,VIC,Gippsland Trade,Model K,K-STD,Plant 3,56,53,24,480,60,35,38,FY26-Q1-DEMO
2025-07,VIC,Gippsland Trade,Model K,K-LITE,Plant 3,56,53,24,480,60,44,42,FY26-Q1-DEMO
2025-07,VIC,Gippsland Trade,Model L,L-STD,Plant 1,57,57,25,520,60,34,39,FY26-Q1-DEMO
2025-07,VIC,Gippsland Trade,Model L,L-MAX,Plant 1,57,57,25,520,60,49,34,FY26-Q1-DEMO
2025-07,WA,West Coast Machinery,Model H,H-STD,Plant 2,49,51,23,420,40,23,35,FY26-Q1-DEMO
2025-07,WA,West Coast Machinery,Model H,H-XL,Plant 2,49,40,19,420,40,90,55,FY26-Q1-DEMO
2025-07,WA,West Coast Machinery,Model J,J-STD,Plant 1,51,42,20,520,60,25,37,FY26-Q1-DEMO
2025-07,WA,West Coast Machinery,Model J,J-PRO,Plant 1,51,42,20,520,60,51,28,FY26-Q1-DEMO
2025-07,WA,West Coast Machinery,Model K,K-STD,Plant 3,52,52,23,480,60,26,38,FY26-Q1-DEMO
2025-07,WA,West Coast Machinery,Model K,K-LITE,Plant 3,52,52,23,480,60,47,42,FY26-Q1-DEMO
2025-07,WA,West Coast Machinery,Model L,L-STD,Plant 1,53,53,24,520,60,27,39,FY26-Q1-DEMO
2025-07,WA,West Coast Machinery,Model L,L-MAX,Plant 1,53,53,24,520,60,52,34,FY26-Q1-DEMO
2025-07,WA,Pilbara Supply,Model H,H-STD,Plant 2,49,51,23,420,40,44,35,FY26-Q1-DEMO
2025-07,WA,Pilbara Supply,Model H,H-XL,Plant 2,49,40,19,420,40,90,55,FY26-Q1-DEMO
2025-07,WA,Pilbara Supply,Model J,J-STD,Plant 1,51,42,20,520,60,42,37,FY26-Q1-DEMO
2025-07,WA,Pilbara Supply,Model J,J-PRO,Plant 1,51,42,20,520,60,56,28,FY26-Q1-DEMO
2025-07,WA,Pilbara Supply,Model K,K-STD,Plant 3,52,52,23,480,60,41,38,FY26-Q1-DEMO
2025-07,WA,Pilbara Supply,Model K,K-LITE,Plant 3,52,52,23,480,60,58,42,FY26-Q1-DEMO
2025-07,WA,Pilbara Supply,Model L,L-STD,Plant 1,53,53,24,520,60,40,39,FY26-Q1-DEMO
2025-07,WA,Pilbara Supply,Model L,L-MAX,Plant 1,53,53,24,520,60,55,34,FY26-Q1-DEMO
2025-07,SA,Southern Fleet,Model H,H-STD,Plant 2,59,62,27,420,40,56,35,FY26-Q1-DEMO
2025-07,SA,Southern Fleet,Model H,H-XL,Plant 2,59,48,22,420,40,90,55,FY26-Q1-DEMO
2025-07,SA,Southern Fleet,Model J,J-STD,Plant 1,61,61,26,520,60,54,37,FY26-Q1-DEMO
2025-07,SA,Southern Fleet,Model J,J-PRO,Plant 1,61,61,26,520,60,28,28,FY26-Q1-DEMO
2025-07,SA,Southern Fleet,Model K,K-STD,Plant 3,62,62,27,480,60,53,38,FY26-Q1-DEMO
2025-07,SA,Southern Fleet,Model K,K-LITE,Plant 3,62,62,27,480,60,58,42,FY26-Q1-DEMO
2025-07,SA,Southern Fleet,Model L,L-STD,Plant 1,63,57,25,520,60,52,39,FY26-Q1-DEMO
2025-07,SA,Southern Fleet,Model L,L-MAX,Plant 1,63,57,25,520,60,27,34,FY26-Q1-DEMO
2025-07,SA,Adelaide Channel,Model H,H-STD,Plant 2,59,62,27,420,40,44,35,FY26-Q1-DEMO
2025-07,SA,Adelaide Channel,Model H,H-XL,Plant 2,59,48,22,420,40,90,55,FY26-Q1-DEMO
2025-07,SA,Adelaide Channel,Model J,J-STD,Plant 1,61,61,26,520,60,42,37,FY26-Q1-DEMO
2025-07,SA,Adelaide Channel,Model J,J-PRO,Plant 1,61,61,26,520,60,56,28,FY26-Q1-DEMO
2025-07,SA,Adelaide Channel,Model K,K-STD,Plant 3,62,62,27,480,60,41,38,FY26-Q1-DEMO
2025-07,SA,Adelaide Channel,Model K,K-LITE,Plant 3,62,62,27,480,60,50,42,FY26-Q1-DEMO
2025-07,SA,Adelaide Channel,Model L,L-STD,Plant 1,63,57,25,520,60,40,39,FY26-Q1-DEMO
2025-07,SA,Adelaide Channel,Model L,L-MAX,Plant 1,63,57,25,520,60,55,34,FY26-Q1-DEMO
2025-08,QLD,Northside Motors,Model H,H-STD,Plant 2,48,58,25,420,36,56,35,FY26-Q1-DEMO
2025-08,QLD,Northside Motors,Model H,H-XL,Plant 2,48,45,21,420,36,98,58,FY26-Q1-DEMO
2025-08,QLD,Northside Motors,Model J,J-STD,Plant 1,46,46,21,520,59,58,37,FY26-Q1-DEMO
2025-08,QLD,Northside Motors,Model J,J-PRO,Plant 1,46,46,21,520,59,44,28,FY26-Q1-DEMO
2025-08,QLD,Northside Motors,Model K,K-STD,Plant 3,45,45,21,480,59,59,38,FY26-Q1-DEMO
2025-08,QLD,Northside Motors,Model K,K-LITE,Plant 3,45,45,21,480,59,58,42,FY26-Q1-DEMO
2025-08,QLD,Northside Motors,Model L,L-STD,Plant 1,44,44,20,520,59,20,39,FY26-Q1-DEMO
2025-08,QLD,Northside Motors,Model L,L-MAX,Plant 1,44,44,20,520,59,45,34,FY26-Q1-DEMO
2025-08,QLD,Coastal Equipment,Model H,H-STD,Plant 2,48,58,25,420,36,35,35,FY26-Q1-DEMO
2025-08,QLD,Coastal Equipment,Model H,H-XL,Plant 2,48,45,21,420,36,98,58,FY26-Q1-DEMO
2025-08,QLD,Coastal Equipment,Model J,J-STD,Plant 1,46,46,21,520,59,37,37,FY26-Q1-DEMO
2025-08,QLD,Coastal Equipment,Model J,J-PRO,Plant 1,46,46,21,520,59,23,28,FY26-Q1-DEMO
2025-08,QLD,Coastal Equipment,Model K,K-STD,Plant 3,45,45,21,480,59,38,38,FY26-Q1-DEMO
2025-08,QLD,Coastal Equipment,Model K,K-LITE,Plant 3,45,45,21,480,59,27,42,FY26-Q1-DEMO
2025-08,QLD,Coastal Equipment,Model L,L-STD,Plant 1,44,44,20,520,59,39,39,FY26-Q1-DEMO
2025-08,QLD,Coastal Equipment,Model L,L-MAX,Plant 1,44,44,20,520,59,24,34,FY26-Q1-DEMO
2025-08,NSW,Harbour Dealership,Model H,H-STD,Plant 2,51,59,26,420,36,24,35,FY26-Q1-DEMO
2025-08,NSW,Harbour Dealership,Model H,H-XL,Plant 2,51,46,21,420,36,98,58,FY26-Q1-DEMO
2025-08,NSW,Harbour Dealership,Model J,J-STD,Plant 1,53,53,24,520,59,22,37,FY26-Q1-DEMO
2025-08,NSW,Harbour Dealership,Model J,J-PRO,Plant 1,53,53,24,520,59,36,28,FY26-Q1-DEMO
2025-08,NSW,Harbour Dealership,Model K,K-STD,Plant 3,54,54,24,480,59,21,38,FY26-Q1-DEMO
2025-08,NSW,Harbour Dealership,Model K,K-LITE,Plant 3,54,54,24,480,59,58,42,FY26-Q1-DEMO
2025-08,NSW,Harbour Dealership,Model L,L-STD,Plant 1,55,55,24,520,59,20,39,FY26-Q1-DEMO
2025-08,NSW,Harbour Dealership,Model L,L-MAX,Plant 1,55,55,24,520,59,35,34,FY26-Q1-DEMO
2025-08,NSW,Western Plains,Model H,H-STD,Plant 2,51,59,26,420,36,27,35,FY26-Q1-DEMO
2025-08,NSW,Western Plains,Model H,H-XL,Plant 2,51,46,21,420,36,98,58,FY26-Q1-DEMO
2025-08,NSW,Western Plains,Model J,J-STD,Plant 1,53,53,24,520,59,29,37,FY26-Q1-DEMO
2025-08,NSW,Western Plains,Model J,J-PRO,Plant 1,53,53,24,520,59,55,28,FY26-Q1-DEMO
2025-08,NSW,Western Plains,Model K,K-STD,Plant 3,54,54,24,480,59,30,38,FY26-Q1-DEMO
2025-08,NSW,Western Plains,Model K,K-LITE,Plant 3,54,54,24,480,59,59,42,FY26-Q1-DEMO
2025-08,NSW,Western Plains,Model L,L-STD,Plant 1,55,55,24,520,59,31,39,FY26-Q1-DEMO
2025-08,NSW,Western Plains,Model L,L-MAX,Plant 1,55,55,24,520,59,56,34,FY26-Q1-DEMO
2025-08,VIC,Metro Industrial,Model H,H-STD,Plant 2,55,58,25,420,36,34,35,FY26-Q1-DEMO
2025-08,VIC,Metro Industrial,Model H,H-XL,Plant 2,55,45,21,420,36,98,58,FY26-Q1-DEMO
2025-08,VIC,Metro Industrial,Model J,J-STD,Plant 1,57,57,25,520,59,36,37,FY26-Q1-DEMO
2025-08,VIC,Metro Industrial,Model J,J-PRO,Plant 1,57,57,25,520,59,22,28,FY26-Q1-DEMO
2025-08,VIC,Metro Industrial,Model K,K-STD,Plant 3,58,55,24,480,59,37,38,FY26-Q1-DEMO
2025-08,VIC,Metro Industrial,Model K,K-LITE,Plant 3,58,55,24,480,59,36,42,FY26-Q1-DEMO
2025-08,VIC,Metro Industrial,Model L,L-STD,Plant 1,59,59,26,520,59,38,39,FY26-Q1-DEMO
2025-08,VIC,Metro Industrial,Model L,L-MAX,Plant 1,59,59,26,520,59,23,34,FY26-Q1-DEMO
2025-08,VIC,Gippsland Trade,Model H,H-STD,Plant 2,55,58,25,420,36,38,35,FY26-Q1-DEMO
2025-08,VIC,Gippsland Trade,Model H,H-XL,Plant 2,55,45,21,420,36,98,58,FY26-Q1-DEMO
2025-08,VIC,Gippsland Trade,Model J,J-STD,Plant 1,57,57,25,520,59,36,37,FY26-Q1-DEMO
2025-08,VIC,Gippsland Trade,Model J,J-PRO,Plant 1,57,57,25,520,59,50,28,FY26-Q1-DEMO
2025-08,VIC,Gippsland Trade,Model K,K-STD,Plant 3,58,55,24,480,59,35,38,FY26-Q1-DEMO
2025-08,VIC,Gippsland Trade,Model K,K-LITE,Plant 3,58,55,24,480,59,44,42,FY26-Q1-DEMO
2025-08,VIC,Gippsland Trade,Model L,L-STD,Plant 1,59,59,26,520,59,34,39,FY26-Q1-DEMO
2025-08,VIC,Gippsland Trade,Model L,L-MAX,Plant 1,59,59,26,520,59,49,34,FY26-Q1-DEMO
2025-08,WA,West Coast Machinery,Model H,H-STD,Plant 2,51,54,24,420,36,23,35,FY26-Q1-DEMO
2025-08,WA,West Coast Machinery,Model H,H-XL,Plant 2,51,42,20,420,36,98,58,FY26-Q1-DEMO
2025-08,WA,West Coast Machinery,Model J,J-STD,Plant 1,53,43,20,520,59,25,37,FY26-Q1-DEMO
2025-08,WA,West Coast Machinery,Model J,J-PRO,Plant 1,53,43,20,520,59,51,28,FY26-Q1-DEMO
2025-08,WA,West Coast Machinery,Model K,K-STD,Plant 3,54,54,24,480,59,26,38,FY26-Q1-DEMO
2025-08,WA,West Coast Machinery,Model K,K-LITE,Plant 3,54,54,24,480,59,47,42,FY26-Q1-DEMO
2025-08,WA,West Coast Machinery,Model L,L-STD,Plant 1,55,55,24,520,59,27,39,FY26-Q1-DEMO
2025-08,WA,West Coast Machinery,Model L,L-MAX,Plant 1,55,55,24,520,59,52,34,FY26-Q1-DEMO
2025-08,WA,Pilbara Supply,Model H,H-STD,Plant 2,51,54,24,420,36,44,35,FY26-Q1-DEMO
2025-08,WA,Pilbara Supply,Model H,H-XL,Plant 2,51,42,20,420,36,98,58,FY26-Q1-DEMO
2025-08,WA,Pilbara Supply,Model J,J-STD,Plant 1,53,43,20,520,59,42,37,FY26-Q1-DEMO
2025-08,WA,Pilbara Supply,Model J,J-PRO,Plant 1,53,43,20,520,59,56,28,FY26-Q1-DEMO
2025-08,WA,Pilbara Supply,Model K,K-STD,Plant 3,54,54,24,480,59,41,38,FY26-Q1-DEMO
2025-08,WA,Pilbara Supply,Model K,K-LITE,Plant 3,54,54,24,480,59,58,42,FY26-Q1-DEMO
2025-08,WA,Pilbara Supply,Model L,L-STD,Plant 1,55,55,24,520,59,40,39,FY26-Q1-DEMO
2025-08,WA,Pilbara Supply,Model L,L-MAX,Plant 1,55,55,24,520,59,55,34,FY26-Q1-DEMO
2025-08,SA,Southern Fleet,Model H,H-STD,Plant 2,61,64,27,420,36,56,35,FY26-Q1-DEMO
2025-08,SA,Southern Fleet,Model H,H-XL,Plant 2,61,50,23,420,36,98,58,FY26-Q1-DEMO
2025-08,SA,Southern Fleet,Model J,J-STD,Plant 1,63,63,27,520,59,54,37,FY26-Q1-DEMO
2025-08,SA,Southern Fleet,Model J,J-PRO,Plant 1,63,63,27,520,59,28,28,FY26-Q1-DEMO
2025-08,SA,Southern Fleet,Model K,K-STD,Plant 3,64,64,27,480,59,53,38,FY26-Q1-DEMO
2025-08,SA,Southern Fleet,Model K,K-LITE,Plant 3,64,64,27,480,59,58,42,FY26-Q1-DEMO
2025-08,SA,Southern Fleet,Model L,L-STD,Plant 1,65,57,25,520,59,52,39,FY26-Q1-DEMO
2025-08,SA,Southern Fleet,Model L,L-MAX,Plant 1,65,57,25,520,59,27,34,FY26-Q1-DEMO
2025-08,SA,Adelaide Channel,Model H,H-STD,Plant 2,61,64,27,420,36,44,35,FY26-Q1-DEMO
2025-08,SA,Adelaide Channel,Model H,H-XL,Plant 2,61,50,23,420,36,98,58,FY26-Q1-DEMO
2025-08,SA,Adelaide Channel,Model J,J-STD,Plant 1,63,63,27,520,59,42,37,FY26-Q1-DEMO
2025-08,SA,Adelaide Channel,Model J,J-PRO,Plant 1,63,63,27,520,59,56,28,FY26-Q1-DEMO
2025-08,SA,Adelaide Channel,Model K,K-STD,Plant 3,64,64,27,480,59,41,38,FY26-Q1-DEMO
2025-08,SA,Adelaide Channel,Model K,K-LITE,Plant 3,64,64,27,480,59,50,42,FY26-Q1-DEMO
2025-08,SA,Adelaide Channel,Model L,L-STD,Plant 1,65,57,25,520,59,40,39,FY26-Q1-DEMO
2025-08,SA,Adelaide Channel,Model L,L-MAX,Plant 1,65,57,25,520,59,55,34,FY26-Q1-DEMO
2025-09,QLD,Northside Motors,Model H,H-STD,Plant 2,50,62,27,420,32,56,35,FY26-Q1-DEMO
2025-09,QLD,Northside Motors,Model H,H-XL,Plant 2,50,48,22,420,32,106,61,FY26-Q1-DEMO
2025-09,QLD,Northside Motors,Model J,J-STD,Plant 1,48,48,22,520,58,58,37,FY26-Q1-DEMO
2025-09,QLD,Northside Motors,Model J,J-PRO,Plant 1,48,48,22,520,58,44,28,FY26-Q1-DEMO
2025-09,QLD,Northside Motors,Model K,K-STD,Plant 3,47,47,21,480,58,59,38,FY26-Q1-DEMO
2025-09,QLD,Northside Motors,Model K,K-LITE,Plant 3,47,47,21,480,58,58,42,FY26-Q1-DEMO
2025-09,QLD,Northside Motors,Model L,L-STD,Plant 1,46,46,21,520,58,20,39,FY26-Q1-DEMO
2025-09,QLD,Northside Motors,Model L,L-MAX,Plant 1,46,46,21,520,58,45,34,FY26-Q1-DEMO
2025-09,QLD,Coastal Equipment,Model H,H-STD,Plant 2,50,62,27,420,32,35,35,FY26-Q1-DEMO
2025-09,QLD,Coastal Equipment,Model H,H-XL,Plant 2,50,48,22,420,32,106,61,FY26-Q1-DEMO
2025-09,QLD,Coastal Equipment,Model J,J-STD,Plant 1,48,48,22,520,58,37,37,FY26-Q1-DEMO
2025-09,QLD,Coastal Equipment,Model J,J-PRO,Plant 1,48,48,22,520,58,23,28,FY26-Q1-DEMO
2025-09,QLD,Coastal Equipment,Model K,K-STD,Plant 3,47,47,21,480,58,38,38,FY26-Q1-DEMO
2025-09,QLD,Coastal Equipment,Model K,K-LITE,Plant 3,47,47,21,480,58,27,42,FY26-Q1-DEMO
2025-09,QLD,Coastal Equipment,Model L,L-STD,Plant 1,46,46,21,520,58,39,39,FY26-Q1-DEMO
2025-09,QLD,Coastal Equipment,Model L,L-MAX,Plant 1,46,46,21,520,58,24,34,FY26-Q1-DEMO
2025-09,NSW,Harbour Dealership,Model H,H-STD,Plant 2,53,62,27,420,32,24,35,FY26-Q1-DEMO
2025-09,NSW,Harbour Dealership,Model H,H-XL,Plant 2,53,48,22,420,32,106,61,FY26-Q1-DEMO
2025-09,NSW,Harbour Dealership,Model J,J-STD,Plant 1,55,55,24,520,58,22,37,FY26-Q1-DEMO
2025-09,NSW,Harbour Dealership,Model J,J-PRO,Plant 1,55,55,24,520,58,36,28,FY26-Q1-DEMO
2025-09,NSW,Harbour Dealership,Model K,K-STD,Plant 3,56,56,25,480,58,21,38,FY26-Q1-DEMO
2025-09,NSW,Harbour Dealership,Model K,K-LITE,Plant 3,56,56,25,480,58,58,42,FY26-Q1-DEMO
2025-09,NSW,Harbour Dealership,Model L,L-STD,Plant 1,57,57,25,520,58,20,39,FY26-Q1-DEMO
2025-09,NSW,Harbour Dealership,Model L,L-MAX,Plant 1,57,57,25,520,58,35,34,FY26-Q1-DEMO
2025-09,NSW,Western Plains,Model H,H-STD,Plant 2,53,62,27,420,32,27,35,FY26-Q1-DEMO
2025-09,NSW,Western Plains,Model H,H-XL,Plant 2,53,48,22,420,32,106,61,FY26-Q1-DEMO
2025-09,NSW,Western Plains,Model J,J-STD,Plant 1,55,55,24,520,58,29,37,FY26-Q1-DEMO
2025-09,NSW,Western Plains,Model J,J-PRO,Plant 1,55,55,24,520,58,55,28,FY26-Q1-DEMO
2025-09,NSW,Western Plains,Model K,K-STD,Plant 3,56,56,25,480,58,30,38,FY26-Q1-DEMO
2025-09,NSW,Western Plains,Model K,K-LITE,Plant 3,56,56,25,480,58,59,42,FY26-Q1-DEMO
2025-09,NSW,Western Plains,Model L,L-STD,Plant 1,57,57,25,520,58,31,39,FY26-Q1-DEMO
2025-09,NSW,Western Plains,Model L,L-MAX,Plant 1,57,57,25,520,58,56,34,FY26-Q1-DEMO
2025-09,VIC,Metro Industrial,Model H,H-STD,Plant 2,57,60,26,420,32,34,35,FY26-Q1-DEMO
2025-09,VIC,Metro Industrial,Model H,H-XL,Plant 2,57,47,21,420,32,106,61,FY26-Q1-DEMO
2025-09,VIC,Metro Industrial,Model J,J-STD,Plant 1,59,59,26,520,58,36,37,FY26-Q1-DEMO
2025-09,VIC,Metro Industrial,Model J,J-PRO,Plant 1,59,59,26,520,58,22,28,FY26-Q1-DEMO
2025-09,VIC,Metro Industrial,Model K,K-STD,Plant 3,60,56,25,480,58,37,38,FY26-Q1-DEMO
2025-09,VIC,Metro Industrial,Model K,K-LITE,Plant 3,60,56,25,480,58,36,42,FY26-Q1-DEMO
2025-09,VIC,Metro Industrial,Model L,L-STD,Plant 1,61,61,26,520,58,38,39,FY26-Q1-DEMO
2025-09,VIC,Metro Industrial,Model L,L-MAX,Plant 1,61,61,26,520,58,23,34,FY26-Q1-DEMO
2025-09,VIC,Gippsland Trade,Model H,H-STD,Plant 2,57,60,26,420,32,38,35,FY26-Q1-DEMO
2025-09,VIC,Gippsland Trade,Model H,H-XL,Plant 2,57,47,21,420,32,106,61,FY26-Q1-DEMO
2025-09,VIC,Gippsland Trade,Model J,J-STD,Plant 1,59,59,26,520,58,36,37,FY26-Q1-DEMO
2025-09,VIC,Gippsland Trade,Model J,J-PRO,Plant 1,59,59,26,520,58,50,28,FY26-Q1-DEMO
2025-09,VIC,Gippsland Trade,Model K,K-STD,Plant 3,60,56,25,480,58,35,38,FY26-Q1-DEMO
2025-09,VIC,Gippsland Trade,Model K,K-LITE,Plant 3,60,56,25,480,58,44,42,FY26-Q1-DEMO
2025-09,VIC,Gippsland Trade,Model L,L-STD,Plant 1,61,61,26,520,58,34,39,FY26-Q1-DEMO
2025-09,VIC,Gippsland Trade,Model L,L-MAX,Plant 1,61,61,26,520,58,49,34,FY26-Q1-DEMO
2025-09,WA,West Coast Machinery,Model H,H-STD,Plant 2,53,56,25,420,32,23,35,FY26-Q1-DEMO
2025-09,WA,West Coast Machinery,Model H,H-XL,Plant 2,53,44,20,420,32,106,61,FY26-Q1-DEMO
2025-09,WA,West Coast Machinery,Model J,J-STD,Plant 1,55,44,20,520,58,25,37,FY26-Q1-DEMO
2025-09,WA,West Coast Machinery,Model J,J-PRO,Plant 1,55,44,20,520,58,51,28,FY26-Q1-DEMO
2025-09,WA,West Coast Machinery,Model K,K-STD,Plant 3,56,56,25,480,58,26,38,FY26-Q1-DEMO
2025-09,WA,West Coast Machinery,Model K,K-LITE,Plant 3,56,56,25,480,58,47,42,FY26-Q1-DEMO
2025-09,WA,West Coast Machinery,Model L,L-STD,Plant 1,57,57,25,520,58,27,39,FY26-Q1-DEMO
2025-09,WA,West Coast Machinery,Model L,L-MAX,Plant 1,57,57,25,520,58,52,34,FY26-Q1-DEMO
2025-09,WA,Pilbara Supply,Model H,H-STD,Plant 2,53,56,25,420,32,44,35,FY26-Q1-DEMO
2025-09,WA,Pilbara Supply,Model H,H-XL,Plant 2,53,44,20,420,32,106,61,FY26-Q1-DEMO
2025-09,WA,Pilbara Supply,Model J,J-STD,Plant 1,55,44,20,520,58,42,37,FY26-Q1-DEMO
2025-09,WA,Pilbara Supply,Model J,J-PRO,Plant 1,55,44,20,520,58,56,28,FY26-Q1-DEMO
2025-09,WA,Pilbara Supply,Model K,K-STD,Plant 3,56,56,25,480,58,41,38,FY26-Q1-DEMO
2025-09,WA,Pilbara Supply,Model K,K-LITE,Plant 3,56,56,25,480,58,58,42,FY26-Q1-DEMO
2025-09,WA,Pilbara Supply,Model L,L-STD,Plant 1,57,57,25,520,58,40,39,FY26-Q1-DEMO
2025-09,WA,Pilbara Supply,Model L,L-MAX,Plant 1,57,57,25,520,58,55,34,FY26-Q1-DEMO
2025-09,SA,Southern Fleet,Model H,H-STD,Plant 2,63,66,28,420,32,56,35,FY26-Q1-DEMO
2025-09,SA,Southern Fleet,Model H,H-XL,Plant 2,63,51,23,420,32,106,61,FY26-Q1-DEMO
2025-09,SA,Southern Fleet,Model J,J-STD,Plant 1,65,65,28,520,58,54,37,FY26-Q1-DEMO
2025-09,SA,Southern Fleet,Model J,J-PRO,Plant 1,65,65,28,520,58,28,28,FY26-Q1-DEMO
2025-09,SA,Southern Fleet,Model K,K-STD,Plant 3,66,66,28,480,58,53,38,FY26-Q1-DEMO
2025-09,SA,Southern Fleet,Model K,K-LITE,Plant 3,66,66,28,480,58,58,42,FY26-Q1-DEMO
2025-09,SA,Southern Fleet,Model L,L-STD,Plant 1,67,57,25,520,58,52,39,FY26-Q1-DEMO
2025-09,SA,Southern Fleet,Model L,L-MAX,Plant 1,67,57,25,520,58,27,34,FY26-Q1-DEMO
2025-09,SA,Adelaide Channel,Model H,H-STD,Plant 2,63,66,28,420,32,44,35,FY26-Q1-DEMO
